pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Maldives;MDV;0,5;22;7,8;1,7;80;82;1746;3,743;11,04547;41,536;18840;95,4151;97,8600006103516;0,747;12,63560963;7,322
Mali;MLI;23,3;47;3,7;5,8;59;61;18,5;17,332;68,06181;45,437;2230;61,27746;30,7614097595215;0,428;7,423037617;2,31
Malta;MLT;0,5;13;25;1,2;82;86;1693;14,911;1,100676;94,875;46310;99,53764;94,9400024414063;0,918;16,83856964;12,21026039
Martinique;#N/D;0,4;16;30,6;1,9;80;86;346,7;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
Mauritania;MRT;4,9;41;5,1;4,3;64;67;4,6;7,916;30,14241;56,923;5770;77,82357;66,9599990844727;0,556;9,376159668;4,918804891
Mauritius;MUS;1,3;16;19;1,4;73;79;640,1;10,921;5,317968;40,81;23410;95,80694;92,1500015258789;0,802;15,17352977;10,42791048
Mexico;MEX;128,5;24;12,2;1,8;72;78;65,1;1073,439;12,47543;81,3;19060;95,30064;95,2478485107422;0,758;14,86443996;9,221050262
Micronesia (Federated States of);FSM;0,1;30;9,8;2,6;68;75;163,1;403;;23,217;4030;;;0,628;11,54947988;7,804956
Mongolia;MNG;3,4;32;8;2,7;68;78;2,2;13,137;25,14699;68,93;11000;97,86929;99,1832733154297;0,739;14,98034954;9,423700333
Montenegro;MNE;0,6;18;22,9;1,7;75;81;45,4;4,789;7,504725;68,164;23920;95,71483;98,9800033569336;0,832;15,08160973;12,17648306
Morocco;MAR;37,8;26;11,9;2,3;73;77;83,9;114,724;34,98889;64,596;8770;96,89422;75,9300003051758;0,683;14,15190983;5,916
Mozambique;MOZ;33,9;43;4,2;4,5;59;65;41,9;14,029;70,83446;38,187;1320;89,87354;63,4199981689453;0,446;10,2191516;3,197641838
Myanmar;MMR;54,6;24;10,8;2,1;64;71;82,9;70,284;46,46758;31,771;4330;97,66256;89,0699462890625;0,585;10,90913752;6,37680006
Namibia;NAM;2,6;36;6,1;3,2;56;63;3,1;10,71;22,38087;53,956;9930;97,34142;92,25;0,615;11,92720692;7,192013277
Nepal;NPL;30,9;29;9;2;69;73;207,6;33,079;62,80514;21,451;4280;96,33409;71,1500015258789;0,602;12,88694954;5,121792742
Netherlands;NLD;17,6;15;27;1,6;81;84;521,6;913,865;2,068772;92,886;61950;98,64765;;0,941;18,69316522;12,58162975
New Caledonia;NCL;0,3;22;15,8;2;78;85;15,9;9,709;3,630036;72,325;;;;#N/D;#N/D;#N/D
New Zealand;NZL;5,2;19;22,2;1,8;81;85;19,6;212,044;6,006559;86,884;47140;99,11677;;0,937;20,28388977;12,94468975
Nicaragua;NIC;7;29;7,9;2,3;72;78;57,7;12,621;29,17457;59,556;5880;;;0,667;12,64135783;7,144
Niger;NER;27,2;49;3,9;6,7;62;64;20,7;13,741;71,13869;16,894;1330;65,12458;37,3400001525879;0,4;6,957111988;2,116717299
Nigeria;NGA;223,8;43;4,7;5,1;54;54;240;429,899;35,75922;53,521;5220;;;0,535;10,12758388;7,181074153
North Macedonia;MKD;2,1;16;21,3;1,4;73;77;84;12,264;11,55415;59,118;17530;94,8883;;0,77;13,62443234;10,22815037
Norway;NOR;5,5;16;24,2;1,5;82;85;17,9;362,522;2,116523;83,664;83750;99,88251;;0,961;18,18519974;13,00362968
Oman;OMN;4,6;27;4,5;2,5;77;81;14,8;63,368;4,184162;87,75;35270;93,28335;;0,816;14,57349014;11,65404034
Pakistan;PAK;240,5;36;6,8;3,3;65;70;305,9;257,829;38,34922;37,731;5700;64,89623;57,9988594055176;0,544;8,658349991;4,536330223
Panama;PAN;4,5;26;12,7;2,3;76;82;59,4;52,938;14,06161;69,141;31160;86,23979;95,7360763549805;0,805;13,05787868;10,54059029
Papua New Guinea;PNG;10,3;34;5,5;3,1;64;69;22,4;23,619;17,75801;13,582;3880;;;0,558;10,36077074;4,74
Paraguay;PRY;6,9;29;9,4;2,4;71;77;16,8;35,304;21,27451;62,818;14580;;94,544548034668;0,717;12,98799113;8,861840248
Peru;PER;34,4;26;12;2,1;75;79;26,6;203,196;33,65575;78,708;12750;94,91894;94,497932434082;0,762;15,38773354;9,885518863
Philippines;PHL;117,3;30;8,6;2,7;70;74;385,2;361,489;24,76948;47,977;9250;93,7756;96,2781677246094;0,699;13,12656975;8,969099998
