PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Gambie;10;2,7;33;7;4,7;28;4,6;43;2;61;64;2236
Georgie;69;3,7;13;15;3,4;8;2,1;21;15;67;76;15846
Ghana;228;33,5;27;8;52;32;3,5;37;4;62;66;5821
Grèce;131;10,4;7;13;9,1;3;1,4;14;23;78;83;32071
Grenade;0,34;0,13;16;8;0,14;12;2;24;10;73;78;14416
Guatemala;107;17,8;21;7;25;20;2,4;32;5;66;72;9309
Guinée;246;13,9;34;10;24;64;4,3;42;3;58;60;2534
Guinée-Bissau;28;2,1;31;9;3,4;50;3,9;40;3;58;62;2015
Guinéeéquatoriale;28;1,7;30;9;2,8;54;4,2;38;3;59;63;11989
Guyana;197;0,81;20;10;0,88;24;2,4;29;6;63;69;23068
Haïti;28;11,6;23;8;15;43;2,8;32;5;61;67;3157
